"time","call_identity_connected","cleanup_detach_events","cleanup_shots_scheduled","client_disconnected","fire_vehicle_weapon","fire_weapon","interact_vehicle","projectile_impact","reload_vehicle_weapon","reload_weapon","request_chunks","reset_map","send_chat","set_loadout","set_username","switch_vehicle_weapon","sync_entity_transform","tick_environment","tick_grenades","tick_health_regen","tick_vehicles","update_position","update_vehicle_input","vehicle_projectile_impact"
"2026-03-17T10:18:00.000Z",0,0.000009960100000006024,0.000022112200000012907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000008268000000000164,0.0017511917999684101,0.00007177629999990388,0.007637297700102863,0,0,0
"2026-03-17T10:18:30.000Z",0,0.000014720100000031877,0.00002112810000003407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000007916099999993876,0.0016092906999915614,0.00006187229999987665,0.007770914300272125,0,0,0
"2026-03-17T10:19:00.000Z",0,0.000014248099999969456,0.00002161210000002356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000009348000000009017,0.001931232600003341,0.0000670803000001996,0.00774235879994194,0,0,0
"2026-03-17T10:19:30.000Z",0,0.000015780000000020777,0.000017464100000008644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000884800000000574,0.0018263802999967994,0.00006063640000029125,0.008078823900132193,0,0,0
"2026-03-17T10:20:00.000Z",0,0.000014056100000026106,0.000021384199999996413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000007680100000007074,0.0017767326000011963,0.00005721620000009864,0.007830050699840286,0,0,0
"2026-03-17T10:20:30.000Z",0,0.000012563999999981591,0.00002038420000003427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000010815999999991278,0.0022787062000077184,0.000055771999999976175,0.008082575399748748,0,0,0
"2026-03-17T10:21:00.000Z",0,0.000009647999999984336,0.000019048099999974255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000009923999999994493,0.0017620797000461154,0.00006806850000007358,0.007925927000133016,0,0,0
"2026-03-17T10:21:30.000Z",0,0.000010332000000001784,0.000022084099999997165,0,0,0,0,0,0,0,0.15273913230000177,0,0,0,0,0,0.00010764849999986837,0.000004351999999996359,0.001578177799990499,0.00006794420000009183,0.006650902900128131,0.00028162509999987153,0,0
"2026-03-17T10:22:00.000Z",0,0.000022724199999979436,0.000046156200000080363,0,0,0.00004228010000009164,0,0.012421912800000002,0,0,0.0014696217999983219,0,0,0,0,0,0.00043366560000039915,0.0000081360999999891,0.0019495079000080295,0.00007597229999998235,0.007703870800150981,0.002014095800003446,0,0
"2026-03-17T10:22:30.000Z",0,0.000012527999999978336,0.00003601610000005806,0,0,0.000010336000000066293,0,0.003093876300000176,0,0,0.004657218400001284,0,0,0,0,0,0.0004815539999998286,0.00000894399999999962,0.001913446299994348,0.0000708801999998343,0.00765456630024346,0.002181941800001397,0,0
