"time","value"
"2026-03-17T10:17:30.000Z",54348.5
"2026-03-17T10:17:45.000Z",0
"2026-03-17T10:18:00.000Z",54348.5
"2026-03-17T10:18:15.000Z",0
"2026-03-17T10:18:30.000Z",54159.8
"2026-03-17T10:18:45.000Z",0
"2026-03-17T10:19:00.000Z",53971.100000000006
"2026-03-17T10:19:15.000Z",0
"2026-03-17T10:19:30.000Z",54348.5
"2026-03-17T10:19:45.000Z",0
"2026-03-17T10:20:00.000Z",54159.8
"2026-03-17T10:20:15.000Z",0
"2026-03-17T10:20:30.000Z",54159.8
"2026-03-17T10:20:45.000Z",0
"2026-03-17T10:21:00.000Z",54348.5
"2026-03-17T10:21:15.000Z",0
"2026-03-17T10:21:30.000Z",114818.6
"2026-03-17T10:21:45.000Z",0
"2026-03-17T10:22:00.000Z",151541.2
"2026-03-17T10:22:15.000Z",0
"2026-03-17T10:22:30.000Z",384681.29393333336
"2026-03-17T10:22:45.000Z",0
"2026-03-17T10:23:00.000Z",116607.80000000002
"2026-03-17T10:23:15.000Z",0
"2026-03-17T10:23:30.000Z",223828.80000000002
"2026-03-17T10:23:45.000Z",0
"2026-03-17T10:24:00.000Z",539636.6
"2026-03-17T10:24:15.000Z",0
"2026-03-17T10:24:30.000Z",325142.7
"2026-03-17T10:24:45.000Z",0
"2026-03-17T10:25:00.000Z",445521.10000000003
"2026-03-17T10:25:15.000Z",0
"2026-03-17T10:25:30.000Z",553630.7000000001
"2026-03-17T10:25:45.000Z",0
"2026-03-17T10:26:00.000Z",308706.4
"2026-03-17T10:26:15.000Z",0
"2026-03-17T10:26:30.000Z",728614.2000000001
"2026-03-17T10:26:45.000Z",0
"2026-03-17T10:27:00.000Z",341766.4
"2026-03-17T10:27:15.000Z",0
"2026-03-17T10:27:30.000Z",424702.80000000005
"2026-03-17T10:27:45.000Z",0
"2026-03-17T10:28:00.000Z",152369
"2026-03-17T10:28:15.000Z",0
"2026-03-17T10:28:30.000Z",379023.80000000005
"2026-03-17T10:28:45.000Z",0
"2026-03-17T10:29:00.000Z",150417.1
"2026-03-17T10:29:15.000Z",0
"2026-03-17T10:29:30.000Z",571030.4
"2026-03-17T10:29:45.000Z",0
"2026-03-17T10:30:00.000Z",499367.5
"2026-03-17T10:30:15.000Z",0
"2026-03-17T10:30:30.000Z",214264.6
"2026-03-17T10:30:45.000Z",0
"2026-03-17T10:31:00.000Z",118264.5
"2026-03-17T10:31:15.000Z",0
"2026-03-17T10:31:30.000Z",118264.5
"2026-03-17T10:31:45.000Z",0
"2026-03-17T10:32:00.000Z",118674.70000000001
"2026-03-17T10:32:15.000Z",0
"2026-03-17T10:32:30.000Z",118674.70000000001
"2026-03-17T10:32:45.000Z",0
"2026-03-17T10:33:00.000Z",119084.90000000001
"2026-03-17T10:33:15.000Z",0
"2026-03-17T10:33:30.000Z",118674.70000000001
"2026-03-17T10:33:45.000Z",0
"2026-03-17T10:34:00.000Z",320349.9
"2026-03-17T10:34:15.000Z",0
"2026-03-17T10:34:30.000Z",248949.50000000003
"2026-03-17T10:34:45.000Z",0
"2026-03-17T10:35:00.000Z",220309.7
"2026-03-17T10:35:15.000Z",0
"2026-03-17T10:35:30.000Z",165075.9
"2026-03-17T10:35:45.000Z",0
"2026-03-17T10:36:00.000Z",260433.10000000003
"2026-03-17T10:36:15.000Z",0
"2026-03-17T10:36:30.000Z",265889
"2026-03-17T10:36:45.000Z",0
"2026-03-17T10:37:00.000Z",272087
"2026-03-17T10:37:15.000Z",0
"2026-03-17T10:37:30.000Z",312200.60000000003
"2026-03-17T10:37:45.000Z",0
"2026-03-17T10:38:00.000Z",131101.7
"2026-03-17T10:38:15.000Z",0
"2026-03-17T10:38:30.000Z",131101.7
"2026-03-17T10:38:45.000Z",0
"2026-03-17T10:39:00.000Z",130648.5
"2026-03-17T10:39:15.000Z",0
"2026-03-17T10:39:30.000Z",131101.7
"2026-03-17T10:39:45.000Z",0
"2026-03-17T10:40:00.000Z",131101.7
"2026-03-17T10:40:15.000Z",0
"2026-03-17T10:40:30.000Z",131554.9
"2026-03-17T10:40:45.000Z",0
"2026-03-17T10:41:00.000Z",131101.7
"2026-03-17T10:41:15.000Z",0
"2026-03-17T10:41:30.000Z",131101.7
"2026-03-17T10:41:45.000Z",0
"2026-03-17T10:42:00.000Z",130648.5
"2026-03-17T10:42:15.000Z",0
"2026-03-17T10:42:30.000Z",302648
"2026-03-17T10:42:45.000Z",0
"2026-03-17T10:43:00.000Z",37899.200000000004
"2026-03-17T10:43:15.000Z",0
"2026-03-17T10:43:30.000Z",37899.200000000004
"2026-03-17T10:43:45.000Z",0
"2026-03-17T10:44:00.000Z",38029.9
"2026-03-17T10:44:15.000Z",0
"2026-03-17T10:44:30.000Z",38029.9
"2026-03-17T10:44:45.000Z",0
"2026-03-17T10:45:00.000Z",106248.2
"2026-03-17T10:45:15.000Z",0
"2026-03-17T10:45:30.000Z",103854.20000000001
"2026-03-17T10:45:45.000Z",0
"2026-03-17T10:46:00.000Z",302237.80000000005
"2026-03-17T10:46:15.000Z",0
"2026-03-17T10:46:30.000Z",178702.5
"2026-03-17T10:46:45.000Z",0
"2026-03-17T10:47:00.000Z",178869.2
"2026-03-17T10:47:15.000Z",0
"2026-03-17T10:47:30.000Z",201369.00000000003
"2026-03-17T10:47:45.000Z",0
"2026-03-17T10:48:00.000Z",260683.7
"2026-03-17T10:48:15.000Z",0
"2026-03-17T10:48:30.000Z",92782.3
"2026-03-17T10:48:45.000Z",0
"2026-03-17T10:49:00.000Z",92782.3
"2026-03-17T10:49:15.000Z",0
"2026-03-17T10:49:30.000Z",93425.70000000001
"2026-03-17T10:49:45.000Z",0
"2026-03-17T10:50:00.000Z",93104
"2026-03-17T10:50:15.000Z",0
"2026-03-17T10:50:30.000Z",92782.3
"2026-03-17T10:50:45.000Z",0
"2026-03-17T10:51:00.000Z",93104
"2026-03-17T10:51:15.000Z",0
"2026-03-17T10:51:30.000Z",93425.70000000001
"2026-03-17T10:51:45.000Z",0
"2026-03-17T10:52:00.000Z",92138.90000000001
"2026-03-17T10:52:15.000Z",0
"2026-03-17T10:52:30.000Z",92460.6
"2026-03-17T10:52:45.000Z",0
"2026-03-17T10:53:00.000Z",92460.6
"2026-03-17T10:53:15.000Z",0
"2026-03-17T10:53:30.000Z",92782.3
"2026-03-17T10:53:45.000Z",0
"2026-03-17T10:54:00.000Z",92460.6
"2026-03-17T10:54:15.000Z",0
"2026-03-17T10:54:30.000Z",92460.6
"2026-03-17T10:54:45.000Z",0
"2026-03-17T10:55:00.000Z",92362.2
"2026-03-17T10:55:15.000Z",0
"2026-03-17T10:55:30.000Z",92559
"2026-03-17T10:55:45.000Z",0
"2026-03-17T10:56:00.000Z",92237.3
"2026-03-17T10:56:15.000Z",0
"2026-03-17T10:56:30.000Z",92460.6
"2026-03-17T10:56:45.000Z",0
"2026-03-17T10:57:00.000Z",92237.3
"2026-03-17T10:57:15.000Z",0
"2026-03-17T10:57:30.000Z",92362.2
"2026-03-17T10:57:45.000Z",0
"2026-03-17T10:58:00.000Z",92460.6
"2026-03-17T10:58:15.000Z",0
"2026-03-17T10:58:30.000Z",92559
"2026-03-17T10:58:45.000Z",0
"2026-03-17T10:59:00.000Z",92460.6
"2026-03-17T10:59:15.000Z",0
"2026-03-17T10:59:30.000Z",92782.3
"2026-03-17T10:59:45.000Z",0
"2026-03-17T11:00:00.000Z",92460.6
"2026-03-17T11:00:15.000Z",0
"2026-03-17T11:00:30.000Z",92460.6
"2026-03-17T11:00:45.000Z",0
"2026-03-17T11:01:00.000Z",92460.6
"2026-03-17T11:01:15.000Z",0
"2026-03-17T11:01:30.000Z",92126.5
"2026-03-17T11:01:45.000Z",0
"2026-03-17T11:02:00.000Z",92460.6
"2026-03-17T11:02:15.000Z",0
"2026-03-17T11:02:30.000Z",92138.90000000001
"2026-03-17T11:02:45.000Z",0
"2026-03-17T11:03:00.000Z",92559
"2026-03-17T11:03:15.000Z",0
"2026-03-17T11:03:30.000Z",92460.6
"2026-03-17T11:03:45.000Z",0
"2026-03-17T11:04:00.000Z",92460.6
"2026-03-17T11:04:15.000Z",0
"2026-03-17T11:04:30.000Z",92460.6
"2026-03-17T11:04:45.000Z",0
"2026-03-17T11:05:00.000Z",92460.6
"2026-03-17T11:05:15.000Z",0
"2026-03-17T11:05:30.000Z",92782.3
"2026-03-17T11:05:45.000Z",0
"2026-03-17T11:06:00.000Z",92138.90000000001
"2026-03-17T11:06:15.000Z",0
"2026-03-17T11:06:30.000Z",92782.3
"2026-03-17T11:06:45.000Z",0
"2026-03-17T11:07:00.000Z",92782.3
"2026-03-17T11:07:15.000Z",0
"2026-03-17T11:07:30.000Z",92460.6
"2026-03-17T11:07:45.000Z",0
